"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Kauno apskritis","Miestas ir kaimas","asmenys","562841"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Kauno apskritis","Miestas ir kaimas","asmenys","569571"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Kauno apskritis","Miestas ir kaimas","asmenys","569566"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Kauno apskritis","Miestas ir kaimas","asmenys","580333"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Birštono sav.","Miestas ir kaimas","asmenys","4117"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Birštono sav.","Miestas ir kaimas","asmenys","4066"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Birštono sav.","Miestas ir kaimas","asmenys","4128"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Birštono sav.","Miestas ir kaimas","asmenys","4081"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Birštono sav.","Miestas ir kaimas","asmenys","4120"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Jonavos r. sav.","Miestas ir kaimas","asmenys","41631"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Jonavos r. sav.","Miestas ir kaimas","asmenys","41151"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Jonavos r. sav.","Miestas ir kaimas","asmenys","41595"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Jonavos r. sav.","Miestas ir kaimas","asmenys","41248"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Jonavos r. sav.","Miestas ir kaimas","asmenys","41567"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","29904"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","29526"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","29835"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","29297"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","29338"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","286754"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","289364"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","298753"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","297906"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","305120"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","95120"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","96423"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","92400"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","95491"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","99265"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","45871"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","45275"
